,ID,SUMMARY
212,LUCENE-1867, replace collation/lib/icu4j.jar with a smaller icu jar 
213,LUCENE-795, deprecate Directory.renameFile() 
214,LUCENE-1752, incorrect snippet returned with SpanScorer 
215,LUCENE-203, [PATCH] GermanAnalyzer fails silently + doesn't close files 
216,LUCENE-381, Contributing a High-performance single-document main memory Apache Lucene fulltext search index. 
217,LUCENE-1567, New flexible query parser 
218,LUCENE-2037, Allow Junit4 tests in our environment. 
219,LUCENE-2374, Add reflection API to AttributeSource/AttributeImpl 
220,LUCENE-3470, reorder arguments of Field constructor to be more intuitive 
221,LUCENE-2701, Factor maxMergeSize into findMergesForOptimize in LogMergePolicy 
222,LUCENE-2048, Omit positions but keep termFreq 
223,LUCENE-1329, Remove synchronization in SegmentReader.isDeleted 
224,LUCENE-1693, AttributeSource/TokenStream API improvements 
225,LUCENE-468," Searchable.java: The info in the @deprecated tags do not refer to the search(Weight, etc...) versions... "
226,LUCENE-3820, Wrong trailing index calculation in PatternReplaceCharFilter 
227,LUCENE-2860, SegmentInfo.sizeInBytes ignore includeDocStore when caching 
228,LUCENE-2777, Revise PagedBytes#fillUsingLengthPrefix* methods names 
229,LUCENE-229, [PATCH] Binary stored fields 
230,LUCENE-651, Poor performance race condition in FieldCacheImpl 
231,LUCENE-1624, Don't commit an empty segments_N when IW is opened with create=true 
232,LUCENE-2417, Fix IndexCommit hashCode() and equals() to be consistent 
233,LUCENE-2759, We should never open an IndexInput when an IndexOutput is still open 
234,LUCENE-3897, KuromojiTokenizer fails with large docs 
235,LUCENE-2647," Move & rename the terms dict, index, abstract postings out of oal.index.codecs.standard "
236,LUCENE-232, Version 1.3 reports IOException when re-creating an index 
237,LUCENE-1658, Absorb NIOFSDirectory into FSDirectory 
238,LUCENE-2554, preflex codec doesn't order terms correctly 
239,LUCENE-1453," When reopen returns a new IndexReader, both IndexReaders may now control the lifecycle of the underlying Directory which is managed by reference counting "
240,LUCENE-1923, Add toString() or getName() method to IndexReader 
241,LUCENE-3712, Remove unused (and untested) methods from ReaderUtil that are also veeeeery ineffective 
242,LUCENE-2303," Remove code duplication from Token class, just extend TermAttributeImpl "
243,LUCENE-1312, InstantiatedIndexReader does not implement getFieldNames properly 
244,LUCENE-964, Remove DocumentWriter 
245,LUCENE-2166," If you hit the ""max term prefix"" warning when indexing, it never goes away "
246,LUCENE-2637, FSDirectory.copyBytes isn't safe for SimpleFSDirectory 
247,LUCENE-1425, Add ConstantScore highlighting support to SpanScorer 
248,LUCENE-452, PrefixQuery is missing the equals() method 
249,LUCENE-3357, Unit and integration test cases for the new Similarities 
250,LUCENE-1569, IndexReader.clone can leave files open 
251,LUCENE-247, Confusing code line 
252,LUCENE-1817, it is impossible to use a custom dictionary for SmartChineseAnalyzer 
253,LUCENE-3721, CharFilters not being invoked in Solr 
254,LUCENE-1723, KeywordTokenizer does not properly set the end offset 
255,LUCENE-1625, openReaderPassed not populated in CheckIndex.Status.SegmentInfoStatus 
256,LUCENE-2813, TestIndexWriterDelete fails randomly 
257,LUCENE-2787, disable atime for DirectIOLinuxDirectory 
258,LUCENE-3476, SearcherManager misses to close IR if manager is closed during reopen 
259,LUCENE-2884, StandardCodec sometimes supplies skip pointers past EOF 
260,LUCENE-1257, Port to Java5 
261,LUCENE-2068, fix reverseStringFilter for unicode 4.0 
262,LUCENE-2747, Deprecate/remove language-specific tokenizers in favor of StandardTokenizer 
263,LUCENE-2933, Two-stage state expansion for the FST: distance-from-root and child-count criteria. 
264,LUCENE-3680, exception consistency in o.a.l.store 
