,ID,SUMMARY
160,JCR-2, Mavenize Project 
161,JCR-3110, QNodeTypeDefinitionImpl.getSerializablePropertyDefs() might return non serializable property definitions  
162,JCR-2705, Reduce log level in MultiIndex for deleting obsolete index 
163,JCR-2706, Evaluate if membershipcache (JCR-2703) obsoletes the cache in DefaultPrincipalProvider 
164,JCR-2499, Add simple benchmarking tools for jcr2spi read performance 
165,JCR-727, NamespaceRegistryTest uses an invalid URI as namespace URI 
166,JCR-2925, Various inner classes maintain references to owning class for no reason 
167,JCR-2813," ""overwriting cached entry"" warnings "
168,JCR-1434, SPI: Description of Path.isDescendantOf(Path)  
169,JCR-1792, jcr:frozenUuid does not contain jcr:content 
170,JCR-2208, update tests so that both Query.XPATH and Query:SQL are treated as optional features 
171,JCR-876," ManageableCollectionUtil should not throw ""unsupported"" JcrMapping exception "
172,JCR-221, NoSuchItemStateException if Node.checkin() is invoked within a transaction 
173,JCR-3067, Remove timeout handling from TransactionContext 
174,JCR-541, NPE in PredefinedNodeTypeTest.getPropertyDefSpec 
175,JCR-244, Support contains queries with wildcard prefix 
176,JCR-1237, Change default value for respectDocumentOrder 
177,JCR-1512, Incorrect check for replace when importing item with colliding id 
178,JCR-726, Improve NodeTypeRegistry.effectiveNodeType() 
179,JCR-672, Deadlock on concurrent save/checkin operations possible 
180,JCR-3026, davex remoting has  a performance bottleneck due limit of 2 http connections 
181,JCR-2230, JSR 283 Evaluate Capabilities 
182,JCR-245, Automatic repository shutdown 
183,JCR-2994, Add method to remove mappings from NamespaceMapping 
184,JCR-948, Support for JNDI configuration of BundleDbPersistenceManager 
185,JCR-574, MsExcelTextFilter throws Exception. Repository is not startable 
186,JCR-3127, Upgrade to Tika 0.10 
187,JCR-1952, DOMException: NAMESPACE_ERR thrown when exporting document view 
188,JCR-596, Keep jackrabbit jar/pom's updated at ibiblio 
189,JCR-1240, Index segments are only committed on close 
190,JCR-1217, Aggregate include ignored if no primaryType set 
191,JCR-181, jcr-server should honor a webdav request's Content-Type and Content-Language headers 
192,JCR-3052, spi2dav: avoid reusing the same document in repositoryserviceimpl 
193,JCR-2255, activity storage path 
194,JCR-1738, BeanConfig may incorrectly throw ConfigurationException 
195,JCR-1747, org.apache.jackrabbit.core.query.lucene.SearchIndex with in-memory lucene index 
196,JCR-265, Bug with textfilters and classloaders 
197,JCR-2980, Nodes that have properties marked for async extraction should be available for querying 
198,JCR-2514, spi2dav: Drop Q*DefinitionImpl implementations and use spi-commons Q*DefinitionBuilder 
199,JCR-479, incorrect definition of built-in node type nt:hierarchyNode 
200,JCR-49, SQL query with jcr:path LIKE '/foo/%' only selects children 
201,JCR-2770, Initial size of ConcurrentCache depends on number of segments (available processors) 
202,JCR-2681, XMLPersistanceManager doesn't preserve a property's 'multiValued' attribute 
203,JCR-1327, SPI POM improvements 
204,JCR-1591, JSR 283: NodeType Management 
205,JCR-2413, AlreadyClosedException on initial index creation 
206,JCR-2864, Use out-of-process text extraction 
207,JCR-621, create jcr-browser contrib project 
208,JCR-2529, jcr2spi:  Remove sanityCheck() from ItemImpl.getSession() 
209,JCR-889, Add bundle support for PostgreSQL 
210,JCR-1706, Fix unexpected behavior of Text.getName() 
211,JCR-692, XMLPersistenceManager fails after creating too many directories on linux 
212,JCR-2643, Avoid item state reads during Session.logout() 
213,JCR-1533, Update POI dependency to 3.0.2-FINAL 
214,JCR-1203, Reorganize test suites 
215,JCR-1863, Create jackrabbit-parent 
216,JCR-454, Query with document order fails when result set size > caching hierarchy manager size 
217,JCR-821, Document View Import: ISO 9075-encoded element/attribute names may lead to illegal node/property names  
218,JCR-625, Memory is not freed up when jackrabbit-server war is redeployed in tomcat 
219,JCR-1609, JSR 283: new Property Types 
220,JCR-1179, Event filtering by path not working as specified 
221,JCR-1444, The getOutputStream of the MemoryFileSystem class can replace a folder with a newly created file 
222,JCR-2841, Avoid path resolution in case of non-wildcard ACEs (follow-up to JCR-2573) 
223,JCR-1175, Test cases for all FileSystem implementations 
224,JCR-1248, Helper Method to escape illegal XPath Search Term 
225,JCR-132, BindableRepositoryFactory requires exact resource type 
226,JCR-1947, JSR 283: Node Type Attribute Subtyping Rules  
227,JCR-1978, Clean up spi-commons pom.xml 
228,JCR-749, Add myqsql ddl for clustering (DatabaseJournal) 
229,JCR-2429, Clustering is broken due to duplicated CachingPersistenceManager interface 
230,JCR-3234, QueryStat getPopularQueries doesn't set the proper position 
231,JCR-1575, [PATCH] cleanup unwanted stream closing that isn't used 
232,JCR-1213, UUIDDocId cache does not work properly because of weakReferences in combination with new instance for combined indexreader  
233,JCR-786, OracleBundlePersistenceManager needs special blob handling for JDBC drivers prior to oracle 10 
234,JCR-3161, Add JcrUtils.getPropertyTypeNames  
235,JCR-2962, InputStream not being explicitly closed 
236,JCR-2246, Deprecate/remove unused FileSystem features such as RandomAccessOutputStream 
237,JCR-2829, Offset not working correctly in user/group query when restricting to group members 
238,JCR-1460, Typo in repository.xml 
239,JCR-437, Restoring a node which has OPV=Version children fails if they are not versionable 
240,JCR-66, refactoring of DavSession acquisition in jcr-server 
241,JCR-2814, Login performance drop when using DefaultAccessManager 
242,JCR-1323," When using QueryImpl.setLimit() and QueryImpl.setOffset(), then NodeIterator.getSize() reports wrong size "
243,JCR-1797, SPI: RepositoryService.getItemInfos should be allowed to return entries outside of the requested tree. 
244,JCR-548, Node type documentation tool (NTDoc) 
245,JCR-694, Remove query handler idleTime 
246,JCR-1437, add framework for performance tests 
247,JCR-2059, JSR 283: Access Property/Node from Session 
248,JCR-2244, NodeDefinitionTemplateImpl.setDefaultPrimaryTypeName(null) throws exception 
249,JCR-955, [PATCH] jackrabbit-webapp pom.xml patch to create an additional jar artifact 
250,JCR-851, Handling of binary properties (streams) in QValue interface 
251,JCR-2876, org.apache.jackrabbit.server.io.IOUtil getTempFile misses dot in tmp suffix 
252,JCR-750," [Patch] Adding history, tab completion, status info command and masked password input for jcr-commands "
253,JCR-1984, UserManagement: Limit set of properties exposed by AuthorizableImpl 
254,JCR-1957, Move common validation checks to a single place 
255,JCR-2169, BundleDbPersistenceManager consistencyFix doesn't fix missing non system childnode  entries of the root node 
256,JCR-382, Setting WebDAV property without value causes NPE in DAVResourceImpl 
257,JCR-2736, Exception messages in AuthorizableImpl include full tracebacks at warn level. 
258,JCR-1915, Node.setPrimaryNodeType should only redefine child-definitions that are not covered by the new effective nt 
259,JCR-2111, JSR 283 Node Identifier 
260,JCR-2408, Mixin removal exception 
261,JCR-3212, add TCK test for Info map of NODE_MOVED event on node reordering 
262,JCR-1178, Rethrow exception with cause in BundleDbPersistenceManager 
263,JCR-3107, Speed up hierarchy cache initialization 
264,JCR-2738, allow AbstractFileSystemTest.getFileSystem to throw an Exception 
265,JCR-1607, Add a NamespaceHelper in jcr-commons 
266,JCR-1887, msoffice text extractor for office 2007 files 
267,JCR-2552, Creating a node of type nt:hierarchyNode (or derived) on a JCR 1.0 compliant repository fails 
268,JCR-1898, Replace customized QueryParser.jjt 
269,JCR-303, Add JCR-RMI documentation to the Jackrabbit web site 
270,JCR-3066, Use only one scheduler for repository tasks 
271,JCR-2534, jcr-server: NPE in SearchResourceImpl if PathValue path is null 
272,JCR-3136, Add m2e lifecycle mappings for Eclipse Indigo 
273,JCR-2708, Merge jcr-benchmark into the performance test suite 
274,JCR-1093, Separate initial index creation from MultiIndex construction 
275,JCR-296, More details for beginners 
276,JCR-717, Upgrade to SLF4J 1.3 
277,JCR-1717, Configure occurrence of property value in excerpt 
278,JCR-653, Some Workspace tests require a second workspace 
279,JCR-1404, javadoc writing and generation with mvn 
280,JCR-3009, Prefix fulltext queries with Japanese or Chinese characters fail to match 
281,JCR-3146, Text extraction may congest thread pool in the repository 
